,tweet_id,source_x,date,time,rating_numerator,rating_denominator,name,dog_stages,jpg_url,predicted dog breed,degree of confidence,number of retweets,number of likes
1647,786363235746385920,Twitter for iPhone,2016-13-10,00:29:39,13,10,Rizzo,doggo,https://pbs.twimg.com/media/Cum5LlfWAAAyPcS.jpg,golden_retriever,0.929266,3221,10284
1650,735256018284875776,Twitter for iPhone,2016-24-05,23:47:49,8,10,Kellogg,doggo,https://pbs.twimg.com/media/CjQnclkVEAA4pnK.jpg,Staffordshire_bullterrier,0.523191,803,3073
1651,813096984823349248,Twitter for iPhone,2016-25-12,19:00:02,11,10,Rocky,doggo,https://pbs.twimg.com/media/C0izZULWgAAKD-F.jpg,Great_Dane,0.128056,3391,10041
1652,821765923262631936,Twitter for iPhone,2017-18-01,17:07:18,13,10,Duchess,doggo,https://pbs.twimg.com/media/C2d_vnHWEAE9phX.jpg,golden_retriever,0.980071,1556,7908
1653,821407182352777218,Twitter for iPhone,2017-17-01,17:21:47,14,10,Sundance,doggo,https://pbs.twimg.com/ext_tw_video_thumb/821407155391725568/pu/img/AJC07gFJDDBuwNTD.jpg,Irish_setter,0.5054960000000001,3996,11107
1655,745433870967832576,Twitter for iPhone,2016-22-06,01:50:58,10,10,Lenox,doggo,https://pbs.twimg.com/media/ClhQJUUWAAEVpBX.jpg,basset,1.44895e-05,2312,6553
1657,760893934457552897,Twitter for iPhone,2016-03-08,17:43:45,11,10,Wishes,doggo,https://pbs.twimg.com/media/Co88_ujWEAErCg7.jpg,Blenheim_spaniel,0.113992,890,3576
1660,813910438903693312,Twitter for iPhone,2016-28-12,00:52:25,11,10,Chubbs,doggo,https://pbs.twimg.com/media/C0uXObSXUAAIzmV.jpg,Siberian_husky,0.6993550000000001,1733,8858
1666,733822306246479872,Twitter for iPhone,2016-21-05,00:50:46,10,10,Moose,floofer,https://pbs.twimg.com/media/Ci8Pfg_UUAA2m9i.jpg,Lhasa,0.457356,932,3389
1667,883360690899218434,Twitter for iPhone,2017-07-07,16:22:55,13,10,Grizzwald,floofer,https://pbs.twimg.com/media/DEJT3FeXoAAtwUy.jpg,chow,0.987997,3080,19951
1670,749317047558017024,Twitter for iPhone,2016-02-07,19:01:20,12,10,Blu,floofer,https://pbs.twimg.com/ext_tw_video_thumb/749316899712950272/pu/img/nvZI9mkoAxt89sul.jpg,wire-haired_fox_terrier,0.155144,2050,5100
1671,800388270626521089,Twitter for iPhone,2016-20-11,17:20:08,12,10,Doc,floofer,https://pbs.twimg.com/media/CxuM3oZW8AEhO5z.jpg,golden_retriever,0.35986,2638,10623
1672,685307451701334016,Twitter for iPhone,2016-08-01,03:50:03,11,10,Petrick,floofer,https://pbs.twimg.com/media/CYKzfTTWMAEeTN7.jpg,Pomeranian,0.963176,397,1929
1673,672160042234327040,Twitter for iPhone,2015-02-12,21:06:56,8,10,Bubba,pupper,https://pbs.twimg.com/media/CVP9_beUEAAwURR.jpg,pug,0.561027,304,765
1674,873213775632977920,Twitter for iPhone,2017-09-06,16:22:42,12,10,Sierra,pupper,https://pbs.twimg.com/media/DB5HTBGXUAE0TiK.jpg,vizsla,0.6197819999999999,1331,6322
1675,882762694511734784,Twitter for iPhone,2017-06-07,00:46:41,12,10,Gus,pupper,https://pbs.twimg.com/media/DEAz_HHXsAA-p_z.jpg,Labrador_retriever,0.85005,4097,24800
1676,672205392827572224,Twitter for iPhone,2015-03-12,00:07:09,9,10,Opal,pupper,https://pbs.twimg.com/media/CVQnPMrVAAAzShR.jpg,pug,0.00326691,1010,1992
1677,876838120628539392,Twitter for iPhone,2017-19-06,16:24:33,12,10,Ginger,pupper,https://pbs.twimg.com/media/DCsnnZsVwAEfkyi.jpg,bloodhound,0.575751,2804,18213
1678,874296783580663808,Twitter for iPhone,2017-12-06,16:06:11,13,10,Jed,pupper,https://pbs.twimg.com/media/DCIgSR0XgAANEOY.jpg,cocker_spaniel,0.437216,3482,22967
1679,881536004380872706,Twitter for iPhone,2017-02-07,15:32:16,14,10,a,pupper,https://pbs.twimg.com/ext_tw_video_thumb/881535971568889856/pu/img/9bawiZ--8FKywTkz.jpg,Samoyed,0.281463,13403,43444
1680,886366144734445568,Twitter for iPhone,2017-15-07,23:25:31,12,10,Roscoe,pupper,https://pbs.twimg.com/media/DE0BTnQUwAApKEH.jpg,French_bulldog,0.999201,2629,18546
1681,871762521631449091,Twitter for iPhone,2017-05-06,16:15:56,12,10,Rover,pupper,https://pbs.twimg.com/media/DBkfY58XcAEdzZy.jpg,Labrador_retriever,0.921393,2970,17891
1682,717009362452090881,Twitter for iPhone,2016-04-04,15:22:08,10,10,Smokey,pupper,https://pbs.twimg.com/media/CfNUNetW8AAekHx.jpg,Siberian_husky,0.506154,872,2988
1683,807621403335917568,Twitter for iPhone,2016-10-12,16:22:02,14,10,Ollie,pupper,https://pbs.twimg.com/media/CzU_YVGUUAA3Xsd.jpg,golden_retriever,0.873233,3392,13864
1684,685943807276412928,Twitter for iPhone,2016-09-01,21:58:42,8,10,the,pupper,https://pbs.twimg.com/ext_tw_video_thumb/685943751555051520/pu/img/rlBvQWaFPUMx1MTi.jpg,papillon,0.200812,536,1498
1689,692905862751522816,Twitter for iPhone,2016-29-01,03:03:25,10,10,Wally,pupper,https://pbs.twimg.com/media/CZ2yNKhWEAA_7cb.jpg,Mexican_hairless,0.162638,791,2243
1690,765371061932261376,Twitter for iPhone,2016-16-08,02:14:15,11,10,Louie,pupper,https://pbs.twimg.com/media/Cp8k6oRWcAUL78U.jpg,golden_retriever,0.829456,2006,6680
1691,693095443459342336,Twitter for iPhone,2016-29-01,15:36:45,10,10,Milo,pupper,https://pbs.twimg.com/media/CZ5entwWYAAocEg.jpg,Yorkshire_terrier,0.0334878,406,1707
1695,694329668942569472,Twitter for iPhone,2016-02-02,01:21:07,9,10,Grady,pupper,https://pbs.twimg.com/media/CaLBJmOWYAQt44t.jpg,boxer,0.99006,451,1828
